Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,MA20,MA50,EMA20,EMA50,RSI,MACD,Signal Line,Volatility,Upper Band,Lower Band,Lag_1,Lag_2,Lag_3
2014-11-05,330.6830139160156,343.3689880371094,330.6830139160156,339.4859924316406,339.4859924316406,19817200,0.02721393533736638,355.7478988647461,372.76684020996095,349.7055800167199,374.19383718908875,30.962179892422995,-24.488257172368833,-22.99609318218535,0.02646760487005811,401.71392196215777,309.78187576733444,330.49200439453125,327.5539855957031,325.8919982910156
2014-11-06,339.4580078125,352.96600341796875,338.42401123046875,349.2900085449219,349.2900085449219,18797000,0.02887900040604885,354.0244995117188,370.6059600830078,349.66600178131057,373.21721645794497,45.42557607612675,-23.5512146766344,-23.107117481075164,0.027520462554217195,398.1150625274717,309.93393649596584,339.4859924316406,330.49200439453125,327.5539855957031
2014-11-07,349.8179931640625,352.73199462890625,341.7760009765625,342.4150085449219,342.4150085449219,16834200,-0.019682784596788183,351.5731506347656,368.9654602050781,348.9754309968926,372.00928673586566,42.525623659393624,-23.033855738973045,-23.09246513265474,0.02710035733230747,392.22164138491996,310.9246598846113,349.2900085449219,339.4859924316406,330.49200439453125
2014-11-08,342.15399169921875,347.0320129394531,342.15399169921875,345.4880065917969,345.4880065917969,8535470,0.008974484091493373,349.37025146484376,367.9793005371094,348.64329533926445,370.9692365341375,49.09550786710769,-22.325941194873053,-22.939160345098404,0.027315072864522717,385.9229134184838,312.8175895112037,342.4150085449219,349.2900085449219,339.4859924316406
2014-11-09,345.3760070800781,363.6260070800781,344.2550048828125,363.2640075683594,363.2640075683594,24205600,0.0514518612438124,348.3912017822266,367.0665008544922,350.0357441229878,370.6670706923423,53.92999334198651,-20.631326569354485,-22.47759358994962,0.029968214307192747,382.10756678370717,314.674836780746,345.4880065917969,342.4150085449219,349.2900085449219
2014-11-10,362.2650146484375,374.8160095214844,357.5610046386719,366.92401123046875,366.92401123046875,30450100,0.010075326995947043,347.41365203857424,366.4285607910156,351.6441505141765,370.5202840467786,56.28546242311486,-18.876133532602125,-21.757301578480124,0.029980674034420517,377.4092476162179,317.4180564609306,363.2640075683594,345.4880065917969,342.4150085449219
2014-11-11,365.85699462890625,371.30999755859375,363.7349853515625,367.69500732421875,367.69500732421875,15838900,0.0021012418652148757,346.6405029296875,365.7394207763672,353.17280354370433,370.40948888118805,54.70918413769518,-17.23668533748372,-20.853178330280844,0.02995537229007969,373.3768978069589,319.9041080524161,366.92401123046875,363.2640075683594,345.4880065917969
2014-11-12,367.9849853515625,429.7179870605469,367.9849853515625,423.5610046386719,423.5610046386719,45783200,0.1519356972535466,349.89770355224607,365.4948211669922,359.87644174322503,372.49386204814823,81.23224862360809,-12.6174203049232,-19.206026725209316,0.04250334330924708,393.33272730138475,306.4626798031074,367.69500732421875,366.92401123046875,363.2640075683594
2014-11-13,427.27301025390625,457.0929870605469,401.12298583984375,420.7349853515625,420.7349853515625,58945000,-0.00667204784236497,353.01720275878904,365.44542114257814,365.6724935154476,374.38567080514485,78.15728041287943,-8.713177289697228,-17.1074568381069,0.042603189440547466,406.74810000999423,299.28630550758385,423.5610046386719,367.69500732421875,366.92401123046875
2014-11-14,418.4169921875,419.25201416015625,384.78900146484375,397.8179931640625,397.8179931640625,29589200,-0.05446894835320326,355.5445526123047,365.1703009033203,368.73396967245856,375.30458540745536,69.84859619019578,-6.570615734996807,-15.00008861748488,0.04406219347640383,412.77839657768027,298.31070864692913,420.7349853515625,423.5610046386719,367.69500732421875
